[2023-02-12T19:32:18.798] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:32:22.077] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:32:24.254] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:32:26.017] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:32:29.493] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:32:33.130] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:32:36.552] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:32:42.073] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:32:44.108] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:32:48.981] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:32:58.250] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:33:17.893] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:34:46.016] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:34:55.259] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:34:57.317] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:35:33.936] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:36:28.398] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:36:42.914] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:38:02.184] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:38:18.024] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:42:34.076] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:42:47.358] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:42:49.253] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:42:54.213] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:42:56.300] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:42:58.028] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:43:01.620] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:43:05.854] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:43:07.933] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:43:10.750] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:43:29.623] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:43:32.377] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:43:54.776] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T08:54:06.166] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T08:55:07.637] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:02:45.614] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:03:25.573] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:03:29.256] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:09:57.742] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:10:34.958] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:11:19.313] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:14:31.558] [WARN] warnArchive - Estado: 404, Ruta consultada: /index.js, Metodo GET
[2023-03-07T09:14:31.948] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:15:01.382] [WARN] warnArchive - Estado: 404, Ruta consultada: /index.js, Metodo GET
[2023-03-07T09:15:01.965] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:16:16.858] [WARN] warnArchive - Estado: 404, Ruta consultada: /index.js, Metodo GET
[2023-03-07T09:16:17.384] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:16:34.411] [WARN] warnArchive - Estado: 404, Ruta consultada: /index.js, Metodo GET
[2023-03-07T09:16:34.893] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:17:21.404] [WARN] warnArchive - Estado: 404, Ruta consultada: /carlos.js, Metodo GET
[2023-03-07T09:17:21.904] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:18:08.191] [WARN] warnArchive - Estado: 404, Ruta consultada: /carlos.js, Metodo GET
[2023-03-07T09:18:08.713] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:18:38.060] [WARN] warnArchive - Estado: 404, Ruta consultada: /carlos.js, Metodo GET
[2023-03-07T09:18:38.598] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:18:58.556] [WARN] warnArchive - Estado: 404, Ruta consultada: /carlos.js, Metodo GET
[2023-03-07T09:18:59.082] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:20:36.605] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/mi_script.js, Metodo GET
[2023-03-07T09:20:37.106] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:22:38.846] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/mi_script.js, Metodo GET
[2023-03-07T09:22:39.311] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:22:59.593] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/mi_script.js, Metodo GET
[2023-03-07T09:23:00.140] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:23:37.138] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/mi_script.js, Metodo GET
[2023-03-07T09:23:37.312] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:23:46.996] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/mi_script.js, Metodo GET
[2023-03-07T09:25:08.576] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/mi_script.js, Metodo GET
[2023-03-07T09:25:09.103] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:25:24.650] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/mi_script.js, Metodo GET
[2023-03-07T09:25:25.270] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-07T09:28:41.885] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/mi_script.js, Metodo GET
[2023-03-07T09:28:42.368] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
